Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
128,524288,19.927745,0.6738,0.3397,0.5064,1391.24,5.5
129,528384,19.648445,0.9927,0.4342,0.5527,1778.30,0.0
130,532480,19.909525,0.6701,0.4928,0.5565,2018.59,2.75
131,536576,20.170977,0.8796,0.4806,0.5820,1968.56,0.0
132,540672,21.430943,0.8159,0.5195,0.5687,2127.80,0.0
133,544768,19.567581,1.2101,0.5372,0.5706,2200.38,0.0
134,548864,20.001164,0.6984,0.5452,0.5179,2233.12,2.75
135,552960,20.573874,0.5861,0.4211,0.4946,1724.70,8.125
136,557056,19.592677,0.8475,0.4362,0.5173,1786.76,2.625
137,561152,20.685351,1.1521,0.4509,0.5393,1846.89,5.5
138,565248,19.420475,0.5509,0.3134,0.5084,1283.59,0.0
139,569344,20.239316,0.4861,0.4434,0.5263,1816.35,0.0
140,573440,19.725563,0.6010,0.3524,0.5107,1443.36,2.625
141,577536,19.708992,0.9966,0.3274,0.5124,1341.11,2.75
142,581632,21.192684,0.6094,0.3874,0.5215,1586.86,5.375
143,585728,20.960414,0.8679,0.3395,0.5449,1390.74,2.75
144,589824,21.670323,0.5299,0.5997,0.5448,2456.55,2.75
145,593920,21.966392,0.9620,0.3916,0.5649,1604.04,5.5
146,598016,21.120391,0.9537,0.4879,0.5700,1998.54,2.75
147,602112,20.629385,0.9261,0.5233,0.5678,2143.27,0.0
148,606208,20.564201,1.0324,0.4958,0.5813,2030.67,0.0
149,610304,21.008063,0.7750,0.5449,0.5689,2232.02,0.0
150,614400,19.910564,0.6940,0.5413,0.5669,2217.01,2.75
151,618496,20.288406,0.8157,0.4652,0.5474,1905.53,2.75
152,622592,20.285419,0.5442,0.5390,0.5536,2207.56,2.75
153,626688,20.618527,1.2115,0.4201,0.5484,1720.80,2.75
154,630784,21.529371,1.0801,0.4682,0.5823,1917.78,0.0
155,634880,21.942258,0.9036,0.5292,0.5643,2167.62,0.0
156,638976,22.155470,0.5248,0.4699,0.5346,1924.89,8.125
157,643072,22.128460,0.7210,0.5443,0.5681,2229.42,0.0
158,647168,22.216319,1.2413,0.5463,0.5298,2237.79,5.5
159,651264,22.174081,0.9390,0.4464,0.5505,1828.38,2.625
160,655360,22.191206,0.9587,0.5425,0.5471,2222.10,0.0
161,659456,21.789372,0.4929,0.4274,0.5540,1750.56,2.75
162,663552,21.798566,0.6304,0.3610,0.5052,1478.85,8.125
163,667648,21.690700,0.9832,0.4551,0.5297,1863.94,2.75
164,671744,22.010493,0.7799,0.4468,0.5320,1829.90,2.75
165,675840,21.924536,0.4244,0.4354,0.5191,1783.40,5.25
166,679936,22.004945,0.9734,0.4490,0.5898,1839.18,0.0
167,684032,21.910482,0.5837,0.5201,0.5195,2130.34,5.375
168,688128,22.048606,0.6276,0.3842,0.5270,1573.56,2.75
169,692224,20.854841,0.9824,0.5030,0.5563,2060.30,0.0
170,696320,20.438574,0.7284,0.3858,0.4868,1580.21,8.125
171,700416,19.577562,0.2569,0.3277,0.5017,1342.19,2.625
172,704512,20.025789,0.7871,0.5222,0.5630,2138.95,0.0
173,708608,20.028171,1.0910,0.5412,0.5664,2216.75,2.625
174,712704,20.218261,0.6342,0.5705,0.5285,2336.84,3.125
175,716800,20.212225,0.9612,0.4080,0.5227,1671.15,5.125
176,720896,20.190465,0.6516,0.5288,0.5200,2166.10,4.625
177,724992,19.914423,0.8521,0.4542,0.5642,1860.44,0.875
178,729088,20.918314,0.9205,0.4714,0.5535,1930.70,5.375
179,733184,21.134937,0.9353,0.4412,0.5663,1807.25,0.0
180,737280,20.116630,0.5154,0.5837,0.5655,2390.95,2.625
181,741376,20.644406,0.7704,0.4817,0.5262,1973.07,5.5
182,745472,20.309552,0.7620,0.5023,0.5619,2057.62,0.0
183,749568,19.772202,1.1307,0.4868,0.5440,1993.99,5.5
184,753664,20.266517,0.6844,0.4894,0.5754,2004.41,0.0
185,757760,21.434188,0.7490,0.5467,0.5542,2239.15,2.75
186,761856,21.732555,0.8456,0.4070,0.5353,1666.88,5.375
187,765952,21.636419,0.6883,0.4495,0.5344,1841.23,2.75
188,770048,21.671747,0.0925,0.3684,0.5007,1508.95,8.0
189,774144,22.038709,0.6987,0.3898,0.4883,1596.62,2.625
190,778240,21.878704,0.6161,0.3955,0.5422,1620.05,2.75
191,782336,22.032232,0.6282,0.4176,0.5430,1710.50,2.75
192,786432,22.088710,0.6556,0.3768,0.5334,1543.21,2.75
193,790528,22.013141,0.4915,0.5326,0.5581,2181.33,0.0
194,794624,22.079758,0.9885,0.4892,0.5560,2003.65,0.0
195,798720,22.039210,0.3570,0.4157,0.5358,1702.81,2.75
196,802816,22.373201,0.5749,0.3815,0.5059,1562.57,2.75
197,806912,21.972244,0.7712,0.3508,0.5210,1437.00,10.75
198,811008,22.327265,0.9185,0.5278,0.5511,2162.00,2.75
199,815104,21.776970,1.0321,0.5233,0.5553,2143.29,2.75
200,819200,22.270196,0.8181,0.5115,0.5770,2095.14,2.75
201,823296,21.937039,0.9866,0.4508,0.5701,1846.68,0.0
202,827392,21.721114,0.4869,0.5225,0.5288,2140.04,5.5
203,831488,21.358422,0.5508,0.4542,0.5331,1860.53,5.5
204,835584,21.571202,0.2909,0.4203,0.5082,1721.56,8.25
205,839680,22.247526,0.5726,0.4602,0.5360,1884.99,5.375
206,843776,21.921961,0.9549,0.4593,0.5185,1881.10,5.5
207,847872,21.687979,0.7782,0.4424,0.5470,1811.90,5.5
208,851968,21.851948,0.7990,0.5562,0.5401,2278.09,2.75
209,856064,22.179015,0.5916,0.4928,0.5390,2018.45,2.625
210,860160,21.662047,0.6229,0.3432,0.4672,1405.72,8.25
211,864256,21.795656,0.8623,0.3279,0.4903,1342.89,5.25
212,868352,22.236297,0.4397,0.4218,0.5305,1727.76,2.75
213,872448,22.094821,0.5647,0.5063,0.5122,2073.75,0.0
214,876544,21.733923,0.7540,0.4518,0.5455,1850.44,5.25
215,880640,21.691070,0.9826,0.5011,0.5502,2052.62,2.625
216,884736,21.112194,1.1195,0.4567,0.5655,1870.65,0.0
217,888832,21.793205,0.3220,0.5310,0.5563,2174.98,2.75
218,892928,22.255557,0.7879,0.4960,0.5430,2031.49,2.75
219,897024,21.854251,0.6065,0.3708,0.5143,1518.84,5.375
220,901120,21.769195,0.6806,0.4438,0.5361,1817.97,2.75
221,905216,21.676122,0.7302,0.4095,0.5520,1677.35,0.0
222,909312,22.039481,0.5157,0.5465,0.5506,2238.55,2.75
223,913408,21.896569,0.7934,0.5178,0.5561,2121.01,2.75
224,917504,21.605258,0.8166,0.4508,0.5582,1846.47,2.75
225,921600,21.947294,0.6000,0.5279,0.5494,2162.22,2.75
226,925696,22.024200,0.9875,0.5725,0.5739,2344.98,0.0
227,929792,21.860522,0.9353,0.5272,0.5263,2159.26,5.5
228,933888,22.145384,0.5274,0.4793,0.5630,1963.26,2.75
229,937984,21.905061,0.6807,0.5740,0.5539,2351.06,2.625
230,942080,21.963203,0.7957,0.4154,0.5216,1701.40,2.75
231,946176,21.730012,0.5331,0.4198,0.5552,1719.68,2.75
232,950272,21.762477,0.3364,0.4242,0.5100,1737.62,5.5
233,954368,22.062783,0.6079,0.4526,0.5402,1853.76,2.75
234,958464,22.030412,0.7777,0.5268,0.5524,2157.60,2.625
235,962560,21.712639,0.6496,0.4213,0.5158,1725.49,8.25
236,966656,21.753746,0.7254,0.4695,0.5356,1923.05,0.0
237,970752,21.704867,0.4389,0.4053,0.5191,1659.95,2.75
238,974848,21.312912,0.1941,0.2771,0.4412,1134.86,2.75
239,978944,21.798576,0.5168,0.1890,0.4307,774.30,2.75
240,983040,21.892441,0.6964,0.2752,0.4716,1127.26,5.375
241,987136,21.840294,0.6239,0.3686,0.5367,1509.60,0.0
242,991232,21.753535,0.6776,0.4754,0.5294,1947.11,2.75
243,995328,21.801527,0.5324,0.4186,0.5439,1714.55,0.0
244,999424,22.092249,0.6000,0.4703,0.5532,1926.16,0.0
245,1003520,22.051074,0.5693,0.5088,0.5277,2083.98,0.0
246,1007616,21.725533,0.7052,0.4119,0.5141,1687.24,2.75
247,1011712,22.004257,0.6127,0.3465,0.5108,1419.45,5.375
248,1015808,22.088144,0.3336,0.4554,0.5095,1865.30,2.75
249,1019904,21.851852,0.6802,0.3231,0.5130,1323.38,2.625
250,1024000,21.727762,0.3436,0.4378,0.5024,1793.06,5.25
251,1028096,21.758413,0.4652,0.4135,0.5118,1693.74,8.0
252,1032192,22.032565,0.6017,0.5087,0.5431,2083.44,0.0
253,1036288,21.746240,0.5387,0.4022,0.4813,1647.45,13.375
254,1040384,21.879564,0.3125,0.4057,0.5303,1661.57,5.375
255,1044480,21.674199,1.0260,0.5391,0.5612,2208.27,0.0
256,1048576,21.796147,0.7929,0.6111,0.5462,2503.25,2.75
257,1052672,21.689661,0.5744,0.5659,0.5642,2318.00,0.0
258,1056768,21.772016,0.9777,0.5515,0.5495,2258.90,4.25
259,1060864,21.212404,0.5546,0.5039,0.5559,2064.04,4.0
260,1064960,21.683182,0.4624,0.5514,0.5455,2258.58,2.625
261,1069056,21.721329,0.5800,0.3791,0.4708,1552.71,13.25
262,1073152,21.997262,0.3758,0.5368,0.5388,2198.80,2.625
263,1077248,22.344716,1.0671,0.4711,0.5393,1929.64,5.25
264,1081344,21.439575,0.6858,0.4852,0.5343,1987.17,8.125
265,1085440,20.118768,0.6842,0.4295,0.5008,1759.30,5.5
266,1089536,19.316414,0.6542,0.5026,0.5205,2058.65,2.75
267,1093632,20.599996,0.5461,0.5050,0.5349,2068.38,5.375
268,1097728,20.896209,0.8113,0.4488,0.4961,1838.34,8.25
269,1101824,20.448517,0.4757,0.3555,0.4825,1456.06,8.125
270,1105920,20.090701,0.7101,0.5214,0.5493,2135.73,5.375
271,1110016,20.033335,0.6511,0.5361,0.5275,2195.85,2.75
272,1114112,20.976569,0.5780,0.4028,0.5167,1650.04,10.75
273,1118208,20.016748,0.7667,0.5094,0.5068,2086.38,2.75
274,1122304,21.229609,0.5323,0.4709,0.5459,1928.96,2.75
275,1126400,20.036293,0.3986,0.4854,0.5128,1988.25,5.5
276,1130496,20.168321,0.4794,0.5074,0.5118,2078.45,9.375
277,1134592,20.337323,0.2607,0.2661,0.4511,1089.82,4.125
278,1138688,21.890635,0.8764,0.5304,0.5598,2172.49,2.75
279,1142784,21.689501,0.9226,0.5521,0.5578,2261.52,2.625
280,1146880,21.707957,0.6484,0.4391,0.5281,1798.70,5.5
281,1150976,21.806422,0.6758,0.4687,0.5523,1919.62,2.75
282,1155072,20.502828,0.8600,0.5257,0.5532,2153.34,8.25
283,1159168,19.909788,0.7707,0.5212,0.5517,2134.91,0.0
284,1163264,20.129130,0.6982,0.5504,0.5282,2254.49,4.375
285,1167360,20.382972,0.5108,0.4293,0.5061,1758.61,6.5
286,1171456,20.470669,0.8054,0.4492,0.5324,1840.05,5.5
287,1175552,20.107317,1.0163,0.5795,0.5807,2373.52,0.0
288,1179648,21.134101,0.5972,0.5062,0.5487,2073.50,5.375
289,1183744,21.697837,0.7615,0.5667,0.5387,2321.31,2.625
290,1187840,21.696161,0.7084,0.3953,0.5139,1619.17,8.125
291,1191936,22.007772,0.6642,0.5047,0.5181,2067.30,5.5
292,1196032,21.960201,0.2897,0.3196,0.4610,1309.25,8.125
293,1200128,22.231770,0.4539,0.3070,0.5046,1257.66,5.375
294,1204224,21.986548,1.0725,0.4286,0.5500,1755.38,0.0
295,1208320,21.737044,0.7648,0.4186,0.5536,1714.43,2.75
296,1212416,21.657758,0.7934,0.5174,0.5640,2119.40,0.0
297,1216512,21.578534,1.0103,0.5158,0.5794,2112.80,0.0
298,1220608,21.885363,0.5350,0.5657,0.5465,2316.91,5.375
299,1224704,21.746352,0.5894,0.4173,0.5268,1709.35,5.5
