Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
3,1156,0.03230762481689453,8896488,608.0,3810,-67.70898473262787,1,0,1
4,1102,0.04232072830200195,8896981,685.0,1509,-26.80748501420021,1,0,1
2,220,0.10859346389770508,8897333,277.0,9822,-175.4944468140602,1,0,1
3,1157,0.05173540115356445,8900280,400.0,768,-13.468926817178726,1,0,1
4,1103,0.056529998779296875,8907259,843.0,2068,-37.04124027490616,1,0,1
3,1158,0.03142952919006348,8908441,662.0,1610,-29.386868685483932,1,0,1
1,232,0.04624748229980469,8925462,296.0,9816,-175.50464987754822,1,0,1
4,1104,0.20141243934631348,8928322,812.0,4197,-75.10174453258514,1,0,1
0,235,0.048304080963134766,8930932,297.0,9814,-176.0265036225319,1,0,1
4,1105,0.12331485748291016,8934991,462.0,1339,-24.20095646381378,1,0,1
4,1106,0.09396576881408691,8943193,460.0,1635,-28.729397237300873,1,0,1
4,1107,0.05090808868408203,8945075,115.0,367,-6.766647636890411,1,0,1
2,221,0.07758545875549316,8946347,264.0,9820,-176.8108261525631,1,0,1
3,1159,0.20769524574279785,8955146,779.0,9399,-167.1788271665573,1,0,1
4,1108,0.08188724517822266,8958840,642.0,2727,-48.168158143758774,1,0,1
3,1160,0.03799700736999512,8962905,632.0,1562,-28.42801870405674,1,0,1
1,233,0.05375933647155762,8976409,401.0,9816,-176.98518219590187,1,0,1
3,1161,0.11516118049621582,8977233,347.0,2935,-52.92288625240326,1,0,1
0,236,0.054103851318359375,8979861,323.0,9816,-176.07968232035637,1,0,1
4,1109,0.0781714916229248,8980622,643.0,4472,-79.4435667693615,1,0,1
3,1162,0.186781644821167,8982455,383.0,1041,-18.64935290813446,1,0,1
4,1110,0.20392441749572754,8982639,144.0,399,-7.645198583602905,1,0,1
3,1163,0.17722010612487793,8984315,144.0,399,-7.111504673957825,1,0,1
4,1111,0.14177489280700684,8988300,463.0,1137,-20.520812809467316,1,0,1
3,1164,0.04569554328918457,8993405,483.0,1813,-32.814007714390755,1,0,1
2,222,0.058480262756347656,8994662,318.0,9820,-175.5117443203926,1,0,1
3,1165,0.11901593208312988,9010416,818.0,3390,-60.182149946689606,1,0,1
3,1166,0.09214019775390625,9012199,106.0,361,-6.628901541233063,1,0,1
3,1167,0.051965951919555664,9014051,114.0,367,-6.488840267062187,1,0,1
4,1112,0.019298791885375977,9014228,622.0,5204,-93.0689997188747,1,0,1
3,1168,0.0822455883026123,9019847,595.0,1130,-20.257391303777695,1,0,1
0,237,0.049592018127441406,9020021,329.0,7917,-141.72955478727818,1,0,1
1,234,0.04991555213928223,9025216,284.0,9816,-176.90198642015457,1,0,1
4,1113,0.05637001991271973,9030444,641.0,3270,-58.476038455963135,1,0,1
3,1169,0.1110990047454834,9030548,621.0,2135,-38.56049418449402,1,0,1
4,1114,0.034104108810424805,9036526,589.0,1211,-21.742640182375908,1,0,1
3,1170,0.13417506217956543,9037145,630.0,1335,-23.63560450077057,1,0,1
3,1171,0.1784067153930664,9040362,358.0,643,-11.6709223985672,1,0,1
4,1115,0.09383893013000488,9042335,447.0,1135,-19.828061163425446,1,0,1
2,223,0.04887104034423828,9043458,269.0,9816,-175.7350718975067,1,0,1
3,1172,0.2079300880432129,9048060,790.0,1547,-28.546842515468597,1,0,1
4,1116,0.054233551025390625,9050431,824.0,1619,-28.307422429323196,1,0,1
4,1117,0.07091569900512695,9052445,114.0,375,-6.929459601640701,1,0,1
4,1118,0.05492258071899414,9054377,108.0,369,-6.843503326177597,1,0,1
4,1119,0.08927536010742188,9056429,128.0,383,-6.78279435634613,1,0,1
4,1120,0.08814263343811035,9058413,128.0,383,-7.0371206402778625,1,0,1
4,1121,0.08857536315917969,9060354,128.0,382,-6.988309919834137,1,0,1
4,1122,0.009711265563964844,9067134,658.0,1351,-23.609822845086455,1,0,1
0,238,0.07802748680114746,9069304,399.0,9827,-175.99285769462585,1,0,1
3,1173,0.03575253486633301,9071676,479.0,4761,-83.99951826035976,1,0,1
1,235,0.06322741508483887,9074207,374.0,9821,-176.9473785161972,1,0,1
4,1123,0.027669191360473633,9074369,799.0,1458,-25.780105262994766,1,0,1
3,1174,0.04169464111328125,9077112,407.0,1063,-19.008499339222908,1,0,1
3,1175,0.057772159576416016,9078985,108.0,363,-6.465617045760155,1,0,1
2,224,0.06847643852233887,9092326,279.0,9822,-176.75887554883957,1,0,1
4,1124,0.04019331932067871,9103680,800.0,5863,-104.44556964933872,1,0,1
4,1125,0.1908729076385498,9109774,420.0,1193,-21.7926966547966,1,0,1
4,1126,0.09487104415893555,9114716,412.0,985,-17.428699135780334,1,0,1
4,1127,0.21141290664672852,9116727,144.0,399,-7.4930227398872375,1,0,1
3,1176,0.053327083587646484,9117852,477.0,7817,-140.15151342749596,1,0,1
0,239,0.0415194034576416,9118561,297.0,9814,-175.26746714115143,1,0,1
4,1128,0.19451165199279785,9118716,144.0,399,-7.204677700996399,1,0,1
3,1177,0.13944530487060547,9119906,144.0,395,-6.815075397491455,1,0,1
1,236,0.06577110290527344,9123308,438.0,9821,-176.5231482386589,1,0,1
4,1129,0.048143625259399414,9129233,832.0,2116,-37.98283761739731,1,0,1
4,1130,0.07020092010498047,9131252,117.0,375,-6.893461525440216,1,0,1
1,237,0.19859647750854492,9131339,393.0,1597,-28.357874274253845,1,0,1
3,1178,0.020087480545043945,9135064,819.0,3054,-55.41330270469189,1,0,1
4,1131,0.014492034912109375,9135522,388.0,853,-15.078496918082237,1,0,1
1,238,0.10116934776306152,9136433,382.0,1033,-18.488761842250824,1,0,1
2,225,0.05658912658691406,9141123,342.0,9820,-175.63367128372192,1,0,1
3,1179,0.048662662506103516,9144466,663.0,1862,-33.387181252241135,1,0,1
3,1180,0.013791322708129883,9157705,775.0,2652,-46.869341837242246,1,0,1
4,1132,0.008931398391723633,9161605,666.0,5251,-93.83742463961244,1,0,1
4,1133,0.05967974662780762,9163472,110.0,371,-6.814614996314049,1,0,1
4,1134,0.09019327163696289,9166770,344.0,633,-10.541771352291107,1,0,1
0,240,0.07426023483276367,9167962,341.0,9827,-176.05287930369377,1,0,1
3,1181,0.022405385971069336,9169329,866.0,2356,-42.91226094216108,1,0,1
1,239,0.060791969299316406,9185565,320.0,9821,-176.13363096117973,1,0,1
3,1182,0.08664298057556152,9185600,442.0,3227,-58.14877697825432,1,0,1
2,226,0.058730125427246094,9190007,358.0,9818,-176.58754593133926,1,0,1
3,1183,0.15514874458312988,9190103,403.0,891,-15.634879767894745,1,0,1
4,1135,0.03549361228942871,9193909,439.0,5459,-98.01212672889233,1,0,1
4,1136,0.0812079906463623,9200733,372.0,1327,-23.456425935029984,1,0,1
3,1184,0.09554147720336914,9201231,359.0,2231,-40.03178507089615,1,0,1
4,1137,0.0410006046295166,9202589,109.0,363,-6.547471731901169,1,0,1
4,1138,0.059070587158203125,9204595,116.0,371,-6.887193113565445,1,0,1
3,1185,0.10888266563415527,9210359,318.0,1833,-32.69757378101349,1,0,1
4,1139,0.03946661949157715,9211451,682.0,1363,-23.786274418234825,1,0,1
4,1140,0.19949555397033691,9216572,429.0,995,-17.845659255981445,1,0,1
0,241,0.06557488441467285,9217225,305.0,9822,-176.6157884299755,1,0,1
4,1141,0.10810351371765137,9223718,795.0,1434,-25.84508979320526,1,0,1
4,1142,0.20705008506774902,9225715,144.0,399,-7.14926415681839,1,0,1
4,1143,0.20570850372314453,9232918,469.0,1449,-26.15760999917984,1,0,1
1,240,0.07597231864929199,9234515,259.0,9816,-176.39084647595882,1,0,1
4,1144,0.11302828788757324,9234754,117.0,370,-6.60175633430481,1,0,1
2,227,0.056908369064331055,9238844,295.0,9820,-175.8228552043438,1,0,1
4,1145,0.07845664024353027,9241363,461.0,1327,-24.12240618467331,1,0,1
3,1186,0.08810734748840332,9242867,633.0,6532,-116.01176470518112,1,0,1
3,1187,0.08974289894104004,9244856,128.0,383,-7.168436586856842,1,0,1
4,1146,0.029249906539916992,9246434,381.0,1009,-17.880279272794724,1,0,1
4,1147,0.06287908554077148,9254228,832.0,1522,-27.017073810100555,1,0,1
3,1188,0.05666923522949219,9255187,636.0,2068,-36.949189364910126,1,0,1
4,1148,0.02087545394897461,9259806,662.0,1105,-19.7132765352726,1,0,1
3,1189,0.023411273956298828,9262525,679.0,1456,-26.152606338262558,1,0,1
3,1190,0.08979034423828125,9264441,128.0,383,-6.693693816661835,1,0,1
0,242,0.09198760986328125,9266688,283.0,9825,-176.58391454815865,1,0,1
4,1149,0.05575418472290039,9270068,437.0,2069,-37.12006828188896,1,0,1
1,241,0.04851818084716797,9283270,347.0,9816,-175.29120337963104,1,0,1
1,242,0.020325899124145508,9285517,137.0,401,-6.927239175885916,1,0,1
2,228,0.059801340103149414,9287669,297.0,9818,-176.4094131886959,1,0,1
4,1150,0.02284407615661621,9290293,622.0,4055,-73.00771133601665,1,0,1
3,1191,0.10269665718078613,9297238,641.0,6587,-117.5519295334816,1,0,1
4,1151,0.05678701400756836,9297867,356.0,1519,-27.301795780658722,1,0,1
3,1192,0.012263298034667969,9299259,118.0,402,-7.312544325366616,1,0,1
4,1152,0.046013593673706055,9307560,455.0,1915,-33.642069563269615,1,0,1
0,243,0.042948246002197266,9315882,297.0,9815,-176.467669069767,1,0,1
4,1153,0.015915870666503906,9318416,682.0,2153,-37.8959934823215,1,0,1
3,1193,0.024974346160888672,9319193,729.0,4006,-71.75991605967283,1,0,1
3,1194,0.10335898399353027,9322385,281.0,637,-11.680165886878967,1,0,1
4,1154,0.08769035339355469,9325344,589.0,1382,-24.934983134269714,1,0,1
3,1195,0.021195650100708008,9329158,454.0,1355,-24.047848530113697,1,0,1
4,1155,0.03079080581665039,9333936,513.0,1709,-30.54578772187233,1,0,1
1,243,0.07746171951293945,9334501,279.0,9820,-176.84674322605133,1,0,1
3,1196,0.08836793899536133,9335527,377.0,1277,-22.737607419490814,1,0,1
2,229,0.08769416809082031,9336758,329.0,9822,-175.69530048966408,1,0,1
4,1156,0.20629262924194336,9338445,415.0,895,-16.82637256383896,1,0,1
3,1197,0.06376767158508301,9340843,589.0,1073,-19.236133843660355,1,0,1
3,1198,0.052015066146850586,9342786,104.0,367,-6.402789533138275,1,0,1
4,1157,0.14488840103149414,9345374,860.0,1389,-24.69084870815277,1,0,1
4,1158,0.03610801696777344,9347187,108.0,361,-6.205934673547745,1,0,1
3,1199,0.17735862731933594,9354777,616.0,2392,-43.86535096168518,1,0,1
0,244,0.07397103309631348,9365152,245.0,9823,-175.97976979613304,1,0,1
1,244,0.061815500259399414,9383595,277.0,9819,-175.83922216296196,1,0,1
2,230,0.07012653350830078,9385518,273.0,9820,-176.22900062799454,1,0,1
4,1159,0.05863547325134277,9396261,303.0,9820,-174.9419505596161,1,0,1
3,1200,0.06641340255737305,9403866,313.0,9820,-175.7307556271553,1,0,1
4,1160,0.05262351036071777,9407547,483.0,2267,-40.37508714199066,1,0,1
3,1201,0.19234085083007812,9412558,775.0,1748,-31.219678163528442,1,0,1
0,245,0.058473825454711914,9414429,286.0,9820,-176.2230187356472,1,0,1
4,1161,0.09029388427734375,9417731,473.0,2031,-36.20959886908531,1,0,1
3,1202,0.05209660530090332,9419617,629.0,1415,-25.299714863300323,1,0,1
4,1162,0.13552594184875488,9421449,369.0,739,-13.115298390388489,1,0,1
3,1203,0.062250375747680664,9427842,832.0,1621,-28.290413349866867,1,0,1
